sampleId	country	city	lat	long	Continental_clusters
FR	France	Lyon	45.77	4.86	1.Europe_W
GA	Gabon	Franceville	-1.65	13.6	4.Africa
GU	Guinea	Dondé	10.7	-12.25	4.Africa
I	United States	Ithaca NY	42.35	-76.57	2.North_America
KN	Kenya	Nyahururu	0.04	36.36	4.Africa
N	Netherlands	Houten	52.02	5.1	1.Europe_W
NG	Nigeria	Maiduguri	11.85	13.16	4.Africa
RAL	United States	Raleigh NC	35.76	-78.66	2.North_America
RG	Rwanda	Gikongoro	-2.49	28.92	4.Africa
SB	South Africa	Barkly East	-30.97	27.59	4.Africa
SD	South Africa	Dullstroom	-25.42	30.1	4.Africa
SP	South Africa	Phalaborwa	-23.94	31.14	4.Africa
T	Australia	Sorell TAS	-42.77	147.56	NA
UK	Uganda	Kisoro	-1.28	29.69	4.Africa
W	United States	Winters CA	38.53	-121.97	2.North_America
ZI	Zambia	Siavonga	-16.54	28.72	4.Africa
ZW	Zimbabwe	Victoria Falls	-17.94	25.83	4.Africa
SIM	w501	w501	NA	NA	NA
